video_id,view_count,like_count,comment_count,duration_seconds,Year,Month,Day,Weekday,Time,Cleaned_Title,Duration_Category
kk5zEOQzTmQ,1860,61,5,1264.0,2025,8,19,Tuesday,12:01:22,Data Visualization and Presentation in R R for Data Analytics Series,Long
yhlqKsYpzgE,0,8,0,0.0,2025,8,18,Monday,01:01:35,Alex The Analyst QA Livestream Come Ask Me Anything,Short
TP2OJuZhbIQ,5823,203,12,38.0,2025,8,15,Friday,11:46:04,Things I Learned as a Data Analyst p1,Short
Mi8st3hyMH8,2777,109,8,3967.0,2025,8,14,Thursday,14:18:24,Alex The Analyst QA Livestream Come Ask Me Anything,Long
vAKs1-EEJ38,1752,59,2,488.0,2025,8,12,Tuesday,12:01:49,How to Remove Duplicates in an R Dataframe R for Data Analytics Series,Medium
-Z2KjOUcvTA,3072,112,19,3944.0,2025,8,7,Thursday,14:31:54,Alex The Analyst QA Livestream Come Ask Me Anything,Long
v5jasYkmwZI,1533,37,5,506.0,2025,8,5,Tuesday,12:01:44,Standardizing and Parsing Dates in R using Lubridate R for Data Analytics Series,Medium
kqhJff8ruKw,15599,611,28,58.0,2025,8,1,Friday,12:53:29,Traditional applying to jobs is dead,Short
QR8kxf925IQ,3396,149,13,4211.0,2025,7,31,Thursday,14:45:09,Alex The Analyst QA Livestream Come Ask Me Anything,Long
klKWFqsqFeI,1822,53,7,790.0,2025,7,29,Tuesday,12:01:31,Handling Missing Data in R R for Data Analytics Series,Medium
XIWe4vCtHcY,3781,141,6,3848.0,2025,7,24,Thursday,14:06:55,Alex The Analyst QA Livestream Come Ask Me Anything,Long
PqCp1f0RIaU,37014,1530,35,48.0,2025,7,23,Wednesday,12:47:30,Dont jump into Power BI first,Short
0B-lz9VQkYs,1964,42,5,497.0,2025,7,22,Tuesday,12:00:02,Grouping and Aggregating Data in R R for Data Analytics Series,Medium
_YG8b1g-QJA,5976,191,5,51.0,2025,7,18,Friday,12:11:49,Getting Buyin is a very difficult skill to learn,Short
UT_hTGge_wc,4542,200,14,4969.0,2025,7,17,Thursday,14:41:40,Alex The Analyst QA Livestream Come Ask Me Anything,Long
A42T_b0gwF4,2366,63,6,827.0,2025,7,15,Tuesday,12:00:18,Filtering and Ordering Data in R R for Data Analytics Series,Medium
8NfozskpBtY,12573,656,10,73.0,2025,7,11,Friday,11:34:46,If I got hired today heres exactly what I would do,Short
lpK71OwmG0s,5258,238,19,4578.0,2025,7,10,Thursday,14:21:00,Alex The Analyst QA Livestream Come Ask Me Anything,Long
QC1Jased-PA,2021,65,6,620.0,2025,7,8,Tuesday,12:00:56,Reading and Writing Files in R R for Data Analytics Series,Medium
O5nQKzBb0oc,3608,90,8,708.0,2025,7,1,Tuesday,12:00:58,Operators in R R for Data Analytics Series,Medium
73S2SJSTgQU,5686,110,9,689.0,2025,6,24,Tuesday,12:00:13,Basics of R Environment Variables Data Types R for Data Analytics Series,Medium
TsnGd6p9oTk,7241,188,13,359.0,2025,6,17,Tuesday,12:00:48,Installing R and R Studio R for Data Analytics Series,Medium
DsI1vG-kXR8,22965,948,42,407.0,2025,6,10,Tuesday,12:00:19,Best Resources to Learn Data Analytics in 2025,Medium
4lhPHhPkVLM,12400,359,30,268.0,2025,6,3,Tuesday,12:00:19,Best Resources to Learn Data Visualization in 2025,Short
dkU5n0G7FRQ,14820,688,16,289.0,2025,5,27,Tuesday,12:01:27,Best Resources to Learn Excel in 2025,Short
kagUDLvrcZ8,21761,794,54,309.0,2025,5,20,Tuesday,12:01:32,Best Resources to Learn Python in 2025,Medium
P5uJYPjUtlc,26401,937,35,371.0,2025,5,13,Tuesday,12:00:49,Best Resources to Learn SQL in 2025,Medium
dStNNjOKML4,4839,179,18,621.0,2025,5,6,Tuesday,12:01:11,How to Practice for General Technical Interviews Analyst Builder,Medium
OQM9x6E3ojo,3357,101,12,262.0,2025,4,29,Tuesday,12:00:46,How to Lie with Data Biased Data Collection,Short
z39SB95JbDo,3418,127,16,213.0,2025,4,22,Tuesday,12:01:50,How to Lie with Data Correlations,Short
W5CQb7klLCs,3812,158,8,252.0,2025,4,15,Tuesday,12:00:53,How to Lie with Data Cherry Picking Data,Short
xb5-UX-jYw0,4305,221,15,407.0,2025,4,8,Tuesday,12:01:32,How to Lie with Data Averages,Medium
V3ouFOBQP0k,4547,222,11,318.0,2025,4,1,Tuesday,12:00:46,How to Lie with Data Percentages and Baseline Numbers,Medium
oi9W142ELN0,3227,242,79,460.0,2025,3,25,Tuesday,12:01:10,1 Million YouTube Play Button Unboxing,Medium
5n52mlp9Ym0,8961,255,41,315.0,2025,3,24,Monday,12:00:07,Maven Analytics Analyst Builder Lifetime Access Ends March 31st,Medium
hgp91KvbJV4,5585,287,22,326.0,2025,3,18,Tuesday,12:01:07,How to Lie with Data Misleading Graphs,Medium
1ql4kNv0_qY,8293,428,24,471.0,2025,3,11,Tuesday,12:00:02,Where to find the Best Healthcare Data,Medium
r5512UY3MTc,10329,673,68,6014.0,2025,3,5,Wednesday,17:07:10,1 Million Subscriber Livestream Giveaways Chat,Long
XuOcmjIbFGg,9734,441,32,916.0,2025,3,4,Tuesday,13:00:44,Taking a look at Real Healthcare Data ICD11 CPT HCPCS Claims,Medium
Ka2mDrKEAhg,31448,1522,149,1072.0,2025,2,25,Tuesday,13:00:21,How to Become a Healthcare Analyst in 2025,Medium
k8nBWL6K884,30545,1431,85,656.0,2025,2,18,Tuesday,13:01:11,What is Healthcare Analytics,Medium
WpX2F2BS3Qc,29506,966,28,424.0,2025,2,11,Tuesday,13:00:47,What is Data Cleaning Data Fundamentals for Beginners,Medium
cd_jj0IRmaA,16082,595,16,283.0,2025,2,4,Tuesday,13:00:52,What is Data Collection Data Fundamentals for Beginners,Short
OcG0B4ny1cE,10934,390,9,387.0,2025,1,28,Tuesday,13:00:34,What are File Types Data Fundamentals for Beginners,Medium
hXpt8zj_ajc,11859,453,18,294.0,2025,1,21,Tuesday,13:00:55,What are Data Types Data Fundamentals for Beginners,Short
ItZlTixh6Bs,21685,1013,34,346.0,2025,1,14,Tuesday,13:00:34,What are KPIs and Metrics Data Fundamental for Beginners,Medium
PEWMgtu-1e4,21506,893,38,416.0,2025,1,7,Tuesday,13:00:35,What is Data Data Fundamentals for Beginners,Medium
hCmEfxy-BXg,8913,305,68,2092.0,2024,12,31,Tuesday,13:01:01,Is Big Tech Overrated in 2025 Alex The Analyst Show Episode 28,Long
TtCBz1lutsY,15462,742,36,718.0,2024,12,24,Tuesday,13:00:39,Most Commonly Asked Questions by Aspiring Data Analysts,Medium
Ihmq-qeA5Pc,8706,382,125,2237.0,2024,12,17,Tuesday,13:30:12,My Career Progression 7 Years Recreational Therapist to Data Analyst Alex The Analyst Show 27,Long
wQQR60KtnFY,691915,27719,946,84768.0,2024,12,10,Tuesday,05:00:49,Ultimate Data Analyst Bootcamp 24 Hours for FREE SQL Excel Tableau Power BI Python Azure,Long
oHte3qFa-oY,26317,737,40,6097.0,2024,12,3,Tuesday,13:00:56,Learn AWS for Analytics in Under 2 Hours S3 Athena Glue Glue DataBrew Quicksight,Long
P7p2OZj9ewU,17110,415,24,4637.0,2024,11,26,Tuesday,13:00:27,Learn Azure for Analytics in Under 90 Minutes Azure Synapse Analytics SQL Databases ADF More,Long
I0vQ_VLZTWg,401184,6622,210,7518.0,2024,11,19,Tuesday,13:00:31,Learn Power BI in Under 3 Hours Formatting Visualizations Dashboards Full Project,Long
tnz72ywhCoo,6189,185,16,501.0,2024,11,12,Tuesday,13:01:10,Coding with R and AI Now on Analyst Builder,Medium
j8FSP8XuFyk,167581,2990,88,5410.0,2024,11,5,Tuesday,13:01:16,Learn Tableau in Under 2 hours Dashboards Relationships Visualizations Mini Project,Long
zXnQNytHCPM,82600,1988,80,9516.0,2024,10,29,Tuesday,12:01:19,Learn Excel in Under 3 Hours Pivot Tables Lookups Data Cleaning,Long
osA1QpBcxRs,21495,2008,61,36.0,2024,10,24,Thursday,12:17:57,Nobody cares so just do it,Short
Mdq1WWSdUtw,84024,2012,56,9607.0,2024,10,22,Tuesday,12:00:28,Learn Pandas in Under 3 Hours Filtering Joins Indexing Data Cleaning Visualizations,Long
CZt2BUpgjgw,15207,1146,41,31.0,2024,10,17,Thursday,11:52:50,Free Data Analyst Bootcamp 2024,Short
t1fQBD4B7xk,52005,1384,49,9121.0,2024,10,15,Tuesday,12:01:10,Learn Python in Under 3 Hours Variables For Loops Web Scraping Full Project,Long
OT1RErkfLNQ,870321,18037,698,14698.0,2024,10,8,Tuesday,12:00:27,Learn SQL Beginner to Advanced in Under 4 Hours,Long
rxyLC247h6E,25769,369,13,730.0,2024,10,1,Tuesday,12:00:58,AWS Quicksight AWS Essentials,Medium
AycpRKyRagE,10635,168,12,2732.0,2024,9,24,Tuesday,12:00:16,AWS Glue DataBrew and Glue AWS Essentials,Long
K2GfrERtliU,16609,291,11,1473.0,2024,9,17,Tuesday,12:00:24,Amazon Athena in AWS AWS Fundamentals,Long
xmVyaT-RuVo,6011,198,8,4516.0,2024,9,11,Wednesday,03:20:13,Alex Freberg and Ben Rogojan Livestream Everything Data Analytics and Data Engineering,Long
amb9bciHGSI,24004,826,96,500.0,2024,9,3,Tuesday,12:00:05,Landing a Data Job Course on Analyst Builder,Medium
hgaVi4sOHkM,12274,222,13,878.0,2024,8,27,Tuesday,12:00:47,S3 Storage in AWS AWS Essentials,Medium
YSjbGET6R1A,14221,311,14,441.0,2024,8,20,Tuesday,12:00:41,AWS Setup and UI Walkthough AWS,Medium
vDVcXXfc9e8,30886,428,15,1177.0,2024,8,13,Tuesday,12:01:05,Getting Started in Azure Synapse Analytics Azure Fundamentals,Medium
Vg6ys_JvXzg,5339,223,18,5904.0,2024,8,9,Friday,15:17:26,August QA Livestream Come Ask Me Anything,Long
sge9qTf8GdY,40213,629,31,1471.0,2024,8,6,Tuesday,12:00:57,Getting Started in Azure Data Factory Azure Fundamentals,Long
9ur0OpMADuM,45332,784,30,826.0,2024,7,30,Tuesday,12:00:10,How to use Azure SQL Databases Azure Fundamentals,Medium
UTMuL_86gSQ,58508,1647,164,367.0,2024,7,25,Thursday,12:00:34,Complete Data Analyst Roadmap on Analyst Builder Become a Data Analyst Faster,Medium
sEImMaovc1Q,15491,288,11,941.0,2024,7,23,Tuesday,12:01:00,Blob Storage and Storage Accounts in Azure Azure Fundamentals,Medium
ZYps6TmBkWk,26423,535,32,397.0,2024,7,16,Tuesday,12:00:38,Azure Account Setup 200 Free Credits Azure Fundamentals,Medium
zv1nfZTYpio,15854,386,24,3592.0,2024,7,9,Tuesday,12:01:07,Building a Fully Interactive Web App using Shiny for Python,Long
rn0dSsYXhIE,6239,174,13,1448.0,2024,7,2,Tuesday,12:01:00,Shiny for Python Components and Layouts Customizing You Web App,Long
siHou7lObbo,14634,352,40,864.0,2024,6,25,Tuesday,12:00:53,Shiny for Python Setup and Install Deploying First Shiny App,Medium
wJiJXD7MVoY,13783,812,134,1279.0,2024,6,18,Tuesday,12:00:06,Is the Economy on the Brink of a Recession Lets Look at the Data,Long
BzwAZ1k3WEY,9288,386,9,1007.0,2024,6,11,Tuesday,12:00:10,Top 5 Most Common Excel Functions in Excel,Medium
5q2u8__sVhs,6593,239,17,844.0,2024,6,4,Tuesday,12:00:09,5 Awesome Excel Functions Youve Probably Never Heard Of,Medium
UJbNEH0_nGY,7847,241,11,994.0,2024,5,28,Tuesday,12:00:23,How to Create Custom Functions in Excel Lambda Functions,Medium
oz2K4HUNMW4,16649,457,28,992.0,2024,5,21,Tuesday,12:00:53,Top 5 Most Popular Functions In Microsoft Excel,Medium
Y-4ri9QjsTI,6008,92,10,2740.0,2024,5,14,Tuesday,12:00:28,Infrastructure of Analyst Builder Entire Tech Stack Part 3,Long
F5v2dRYU5IA,114813,3565,86,7480.0,2024,5,7,Tuesday,15:16:53,2 Hour Data Analyst Interview Masterclass Interview Better Than The Competition,Long
_R6K1aNtKpE,2564,65,11,2707.0,2024,5,7,Tuesday,12:00:30,Challenges of Creating Analyst Builder Challenges of a Startup Part 2,Long
5tKmTdvEAVk,6809,215,35,1367.0,2024,4,30,Tuesday,12:00:07,How We Started Analyst Builder How We Created It Part 1,Long
QYd-RtK58VQ,139003,3230,152,1964.0,2024,4,23,Tuesday,12:00:21,MySQL Exploratory Data Analysis Full Project,Long
c5ko0sedE7k,5199,229,13,4996.0,2024,4,18,Thursday,18:35:41,750k Subscriber Livestream Giveaways Songs QA,Long
4UltKCnnnTA,337604,7199,1022,3071.0,2024,4,16,Tuesday,12:00:05,Data Cleaning in MySQL Full Project,Long
BV5ckMNNvi4,9112,287,86,3374.0,2024,4,9,Tuesday,12:00:08,How to get Promoted as a Data Analyst Alex The Analyst Show Episode 26,Long
QMUZ5HfWMRc,124780,3967,149,882.0,2024,4,2,Tuesday,12:00:19,Triggers and Events in MySQL Advanced MySQL Series,Medium
7b8ViCqD9JM,30286,2220,35,52.0,2024,3,27,Wednesday,12:19:35,How to give up on the job search fast,Short
7vnxpcqmqNQ,130874,2469,88,757.0,2024,3,26,Tuesday,12:00:12,Stored Procedures in MySQL Advanced MySQL Series,Medium
uEk07jXdKOo,87862,1822,71,466.0,2024,3,19,Tuesday,12:00:56,Temp Tables in MySQL Advanced MySQL Series,Medium
UC7uvOqcUTs,150253,2442,79,631.0,2024,3,12,Tuesday,12:00:23,CTEs in MySQL Advanced MySQL Series,Medium
1KEbiqRWOkA,20122,753,50,714.0,2024,3,5,Tuesday,13:00:01,7 Mistakes to Avoid During Your Data Analyst Job Search,Medium
UOBTLzWY1vs,23058,1558,20,38.0,2024,3,1,Friday,13:43:29,DataAnalyst AnalystBuilder SQL,Short
8zOkBTs0yxs,5641,189,7,5697.0,2024,2,29,Thursday,17:10:18,QA Livestream February Livestream Ask Me Anything,Long
7NBt0V8ebGk,174747,4684,125,809.0,2024,2,27,Tuesday,13:00:08,Window Functions in MySQL Intermediate MySQL,Medium
FGC0cCAgGu0,8037,312,12,16.0,2024,2,23,Friday,13:34:27,Twitter making me tear up over here,Short
Vj6RqA_X-IE,145402,2333,93,661.0,2024,2,20,Tuesday,13:00:32,Subqueries in MySQL Intermediate MySQL,Medium
RYIiOG4LsvQ,130899,2298,116,533.0,2024,2,13,Tuesday,13:00:19,Case Statements in MySQL Intermediate MySQL,Medium
5y7tLNPVJPA,7564,245,5,9.0,2024,2,8,Thursday,13:59:09,We did our best,Short
_nf56aMPdZE,86841,1036,52,1485.0,2024,2,6,Tuesday,13:00:35,Microsoft Copilot Full Review AI in Word PowerPoint Excel and More,Long
XbDRYzYUmMo,13468,474,10,4496.0,2024,1,30,Tuesday,17:30:05,Top 5 Emerging Trends in 2024 CareerFoundry Webinar,Long
KRXSJb9ql1Y,146207,2499,81,714.0,2024,1,30,Tuesday,13:00:17,String Functions in MySQL Intermediate MySQL Series,Medium
iTQW_nDp938,140571,2500,87,442.0,2024,1,23,Tuesday,13:00:41,Unions in MySQL Intermediate MySQL,Medium
lXQzD09BOH0,298288,4211,179,1031.0,2024,1,16,Tuesday,13:00:42,Joins in MySQL Intermediate MySQL,Medium
xtC3212t4hI,32389,2152,33,57.0,2024,1,15,Monday,14:22:09,Is my background in Data Analytics,Short
KZKizyBS9YM,23541,587,23,1023.0,2024,1,11,Thursday,13:00:16,Solving VERY HARD SQL Interview Questions on Analyst Builder,Medium
I0_ca6iyo6w,31283,643,38,1286.0,2024,1,9,Tuesday,13:00:24,Solving HARD SQL Interview Questions on Analyst Builder,Long
GZS7AgQ4Ksg,15681,1039,7,30.0,2024,1,8,Monday,13:06:02,Hard Skills vs Soft Skills,Short
fT-8mRf_-Hk,34457,761,48,744.0,2024,1,4,Thursday,13:00:28,Solving Medium SQL Interview Questions on Analyst Builder,Medium
ZHaYOC0H5KE,63564,1398,58,738.0,2024,1,2,Tuesday,13:00:25,Solving Easy SQL Interview Questions on Analyst Builder,Medium
K0-8G3DgjA4,424181,16624,511,661.0,2023,12,26,Tuesday,13:00:10,How I Would Become a Data Analyst if I had to Start Over in 2024 6 Month Plan,Medium
ZnAydTqCtFU,150716,2872,94,237.0,2023,12,19,Tuesday,13:00:24,Limit Aliasing in MySQL MySQL Beginner Series,Short
qPOmj22QX04,10340,642,20,28.0,2023,12,13,Wednesday,16:12:42,Practice SQL and Python right on your Phone,Short
XD1ul5fpnGI,25320,1029,112,987.0,2023,12,12,Tuesday,13:00:21,Analyst Builder Full Launch The Learning Platform Built for Data Analysts,Medium
kifhSqep9UM,12060,475,14,16464.0,2023,12,11,Monday,19:04:05,Analyst Builder Full Launch LiveStream 20 Off Code Giveaways,Long
dCNjUOc1cBY,178559,3153,54,226.0,2023,12,5,Tuesday,13:00:35,Having vs Where in MySQL Beginner MySQL Series,Short
lEjmgE-hogg,12641,797,11,47.0,2023,11,29,Wednesday,18:00:02,Excel is Frustrating,Short
qxj3dx0c7RM,14283,432,11,4297.0,2023,11,28,Tuesday,17:36:39,7 Mistakes to Avoid in Your Data Analytics Job Search CareerFoundry Webinar,Long
zgYqUP_PhQo,238987,4060,96,646.0,2023,11,28,Tuesday,13:00:57,Group By Order By in MySQL Beginner MySQL Series,Medium
MARn_mssG4A,259647,4085,138,747.0,2023,11,21,Tuesday,13:00:24,Where Clause in MySQL Beginner MySQL Series,Medium
TGAUZQJaQbQ,26242,972,140,444.0,2023,11,14,Tuesday,13:00:21,Why Data Analysts Hate Using Excel,Medium
HYD8KjPB9F8,405475,5002,188,660.0,2023,11,7,Tuesday,13:00:11,Select Statement in MySQL Beginner MySQL Series,Medium
wgRwITQHszU,1165146,14804,1607,724.0,2023,10,31,Tuesday,12:00:54,Installing MySQL and Creating Databases MySQL for Beginners,Medium
1LG65qXfeQY,26754,989,12,4709.0,2023,10,26,Thursday,16:30:05,Python Beginner to Advanced in One Hour CareerFoundry Webinar,Long
QzLz-W29Tww,9931,436,47,657.0,2023,10,24,Tuesday,12:00:30,How to Start a Data YouTube Channel,Medium
